2023-03-26 14:43:42.628 [info] Log level: Info
2023-03-26 14:43:42.628 [info] Validating found git in: "git"
2023-03-26 14:43:42.634 [info] Using git "2.40.0" from "git"
2023-03-26 14:43:42.661 [info] > git rev-parse --show-toplevel [18ms]
2023-03-26 14:43:42.714 [info] > git rev-parse --show-toplevel [44ms]
2023-03-26 14:43:42.728 [info] > git rev-parse --show-toplevel [7ms]
2023-03-26 14:43:42.748 [info] > git rev-parse --show-toplevel [13ms]
2023-03-26 14:43:42.766 [info] > git rev-parse --show-toplevel [7ms]
2023-03-26 14:43:42.776 [info] > git rev-parse --show-toplevel [3ms]
2023-03-26 14:43:42.812 [info] > git rev-parse --show-toplevel [28ms]
2023-03-26 14:43:43.144 [info] > git rev-parse --show-toplevel [9ms]
2023-03-26 14:45:20.121 [info] > git rev-parse --show-toplevel [9ms]
2023-03-26 14:45:22.482 [info] > git rev-parse --show-toplevel [9ms]
2023-03-26 14:45:23.475 [info] > git rev-parse --show-toplevel [3ms]
2023-03-26 14:47:15.905 [info] > git rev-parse --show-toplevel [12ms]
2023-03-26 14:47:19.687 [info] > git rev-parse --show-toplevel [10ms]
2023-03-26 14:47:21.360 [info] > git rev-parse --show-toplevel [7ms]
2023-03-26 14:47:24.399 [info] > git rev-parse --show-toplevel [8ms]
2023-03-26 14:47:31.663 [info] > git rev-parse --show-toplevel [10ms]
2023-03-26 14:47:43.121 [info] > git rev-parse --show-toplevel [5ms]
2023-03-26 14:53:12.986 [info] > git rev-parse --show-toplevel [8ms]
2023-03-26 14:53:13.726 [info] > git rev-parse --show-toplevel [4ms]
2023-03-26 14:53:20.497 [info] > git rev-parse --show-toplevel [13ms]
2023-03-26 14:53:21.255 [info] > git rev-parse --show-toplevel [9ms]
2023-03-26 14:55:30.299 [info] > git rev-parse --show-toplevel [12ms]
2023-03-26 14:57:35.516 [info] > git rev-parse --show-toplevel [5ms]
2023-03-26 14:57:36.520 [info] > git rev-parse --show-toplevel [4ms]
2023-03-26 14:57:47.181 [info] > git rev-parse --show-toplevel [25ms]
2023-03-26 14:59:48.675 [info] > git rev-parse --show-toplevel [6ms]
2023-03-26 15:00:34.020 [info] > git rev-parse --show-toplevel [8ms]
2023-03-26 15:01:03.706 [info] > git rev-parse --show-toplevel [9ms]
2023-03-26 15:01:06.529 [info] > git rev-parse --show-toplevel [3ms]
2023-03-26 15:01:06.543 [info] > git rev-parse --show-toplevel [1ms]
2023-03-26 15:01:06.555 [info] > git rev-parse --show-toplevel [1ms]
2023-03-26 15:08:58.134 [info] > git rev-parse --show-toplevel [4ms]
2023-03-26 15:08:58.187 [info] > git rev-parse --show-toplevel [4ms]
2023-03-26 15:08:58.243 [info] > git rev-parse --show-toplevel [11ms]
2023-03-26 15:09:00.604 [info] > git rev-parse --show-toplevel [3ms]
2023-03-26 15:09:00.645 [info] > git rev-parse --show-toplevel [6ms]
2023-03-26 15:09:00.660 [info] > git rev-parse --show-toplevel [4ms]
2023-03-26 15:09:01.551 [info] > git rev-parse --show-toplevel [4ms]
2023-03-26 15:09:01.863 [info] > git rev-parse --show-toplevel [242ms]
2023-03-26 15:09:01.878 [info] > git rev-parse --show-toplevel [3ms]
2023-03-26 15:09:01.997 [info] > git rev-parse --show-toplevel [2ms]
2023-03-26 15:09:02.055 [info] > git rev-parse --show-toplevel [7ms]
2023-03-26 15:09:02.097 [info] > git rev-parse --show-toplevel [14ms]
2023-03-26 15:09:02.483 [info] > git rev-parse --show-toplevel [16ms]
2023-03-26 15:09:02.567 [info] > git rev-parse --show-toplevel [8ms]
2023-03-26 15:09:02.601 [info] > git rev-parse --show-toplevel [2ms]
2023-03-26 15:09:02.995 [info] > git rev-parse --show-toplevel [7ms]
2023-03-26 15:09:03.077 [info] > git rev-parse --show-toplevel [7ms]
2023-03-26 15:09:03.100 [info] > git rev-parse --show-toplevel [4ms]
2023-03-26 15:09:05.670 [info] > git rev-parse --show-toplevel [3ms]
2023-03-26 15:09:05.685 [info] > git rev-parse --show-toplevel [1ms]
2023-03-26 15:09:05.699 [info] > git rev-parse --show-toplevel [2ms]
2023-03-26 15:09:06.083 [info] > git rev-parse --show-toplevel [2ms]
2023-03-26 15:09:06.119 [info] > git rev-parse --show-toplevel [6ms]
2023-03-26 15:09:06.134 [info] > git rev-parse --show-toplevel [2ms]
2023-03-26 15:09:08.517 [info] > git rev-parse --show-toplevel [9ms]
2023-03-26 15:09:08.531 [info] > git rev-parse --show-toplevel [2ms]
2023-03-26 15:09:08.547 [info] > git rev-parse --show-toplevel [3ms]
2023-03-26 15:09:29.909 [info] > git rev-parse --show-toplevel [5ms]
2023-03-26 15:09:29.973 [info] > git rev-parse --show-toplevel [8ms]
2023-03-26 15:09:30.004 [info] > git rev-parse --show-toplevel [5ms]
2023-03-26 15:10:34.686 [info] > git rev-parse --show-toplevel [1ms]
2023-03-26 15:10:34.739 [info] > git rev-parse --show-toplevel [6ms]
2023-03-26 15:10:34.754 [info] > git rev-parse --show-toplevel [4ms]
2023-03-26 15:10:37.766 [info] > git rev-parse --show-toplevel [2ms]
2023-03-26 15:10:37.870 [info] > git rev-parse --show-toplevel [19ms]
2023-03-26 15:10:37.901 [info] > git rev-parse --show-toplevel [5ms]
2023-03-26 15:21:04.673 [info] > git rev-parse --show-toplevel [12ms]
2023-03-26 15:21:04.690 [info] > git rev-parse --show-toplevel [3ms]
2023-03-26 15:21:04.703 [info] > git rev-parse --show-toplevel [3ms]
2023-03-26 15:33:21.998 [info] > git rev-parse --show-toplevel [4ms]
2023-03-26 15:33:22.027 [info] > git rev-parse --show-toplevel [7ms]
2023-03-26 15:33:22.042 [info] > git rev-parse --show-toplevel [1ms]
2023-03-26 15:33:23.189 [info] > git rev-parse --show-toplevel [13ms]
2023-03-26 15:33:23.221 [info] > git rev-parse --show-toplevel [2ms]
2023-03-26 15:33:23.236 [info] > git rev-parse --show-toplevel [4ms]
2023-03-26 15:33:24.576 [info] > git rev-parse --show-toplevel [7ms]
2023-03-26 15:33:24.589 [info] > git rev-parse --show-toplevel [4ms]
2023-03-26 15:33:24.609 [info] > git rev-parse --show-toplevel [4ms]
2023-03-26 15:33:40.910 [info] > git rev-parse --show-toplevel [2ms]
2023-03-26 15:33:41.016 [info] > git rev-parse --show-toplevel [10ms]
2023-03-26 15:33:41.046 [info] > git rev-parse --show-toplevel [7ms]
2023-03-26 15:39:45.557 [info] > git rev-parse --show-toplevel [8ms]
2023-03-26 15:39:45.582 [info] > git rev-parse --show-toplevel [9ms]
2023-03-26 15:39:45.605 [info] > git rev-parse --show-toplevel [4ms]
2023-03-26 15:39:45.639 [info] > git rev-parse --show-toplevel [19ms]
